Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,1,"[0, 1, 2]",0,412,"[[ 2  0  8  2]
 [ 8 16 64  4]
 [32  4  4 16]
 [ 2  2  2  4]]","[[ 2 16  8  2]
 [ 8  4 64  4]
 [32  2  4 16]
 [ 2  2  2  4]]",False,True
0,0,2,"[0, 1, 2, 3]",4,416,"[[ 2 16  8  2]
 [ 8  4 64  4]
 [32  2  4 16]
 [ 2  2  2  4]]","[[ 2 16  8  2]
 [ 8  4 64  4]
 [32  2  4 16]
 [ 4  2  4  2]]",False,True
0,0,2,"[1, 3]",-10,406,"[[ 2 16  8  2]
 [ 8  4 64  4]
 [32  2  4 16]
 [ 4  2  4  2]]","[[ 2 16  8  2]
 [ 8  4 64  4]
 [32  4  8 16]
 [ 4  0  2  2]]",False,True
0,0,3,"[0, 1, 2, 3]",8,414,"[[ 2 16  8  2]
 [ 8  4 64  4]
 [32  4  8 16]
 [ 4  0  2  2]]","[[ 2  0  8  2]
 [ 8  2 64  4]
 [32 16  8 16]
 [ 4  8  2  2]]",False,True
0,0,1,"[0, 1, 2]",0,414,"[[ 2  0  8  2]
 [ 8  2 64  4]
 [32 16  8 16]
 [ 4  8  2  2]]","[[ 2  2  8  2]
 [ 8 16 64  4]
 [32  8  8 16]
 [ 4  2  2  2]]",False,True
0,0,3,"[0, 2]",-10,404,"[[ 2  2  8  2]
 [ 8 16 64  4]
 [32  8  8 16]
 [ 4  2  2  2]]","[[ 4  8  2  0]
 [ 8 16 64  4]
 [32 16 16  2]
 [ 4  4  2  0]]",False,True
0,0,2,"[0, 1, 2, 3]",40,444,"[[ 4  8  2  0]
 [ 8 16 64  4]
 [32 16 16  2]
 [ 4  4  2  0]]","[[ 0  4  8  2]
 [ 8 16 64  4]
 [ 0 32 32  2]
 [ 2  0  8  2]]",False,True
0,0,1,"[0, 1, 2, 3]",4,448,"[[ 0  4  8  2]
 [ 8 16 64  4]
 [ 0 32 32  2]
 [ 2  0  8  2]]","[[ 8  4  8  2]
 [ 2 16 64  4]
 [ 0 32 32  4]
 [ 4  0  8  0]]",False,True
0,0,2,"[0, 1, 2, 3]",64,512,"[[ 8  4  8  2]
 [ 2 16 64  4]
 [ 0 32 32  4]
 [ 4  0  8  0]]","[[ 8  4  8  2]
 [ 2 16 64  4]
 [ 0  0 64  4]
 [ 4  0  4  8]]",False,True
0,0,0,"[0, 1, 2, 3]",8,520,"[[ 8  4  8  2]
 [ 2 16 64  4]
 [ 0  0 64  4]
 [ 4  0  4  8]]","[[ 8  4  8  2]
 [ 2 16 64  4]
 [64  4  0  2]
 [ 8  8  0  0]]",False,True
